ID,Label,Variant I,Variant II,Variant III,Variant IV,Lived,Relation,Gender,,,,,,,,,,,,,,,,,,,,
per_001,Amy,,,,,,,f,,,,,,,,,,,,,,,,
per_002,Áine Ní Maolchiaráin,Anna,,,,,,f,,,,,,,,,,,,,,,,,,
per_003,Anne O'Flanagan,,,,,,,f,,,,,,,,,,,,,,,,
per_004,Austin Stack,Aoibhistin de Staic,,,,,Irish Republican Army, Tralee ,m,,,,,,,,,,,,,,,,,
per_005,Bessie Harrington,,,,,,,f,,,,,,,,,,,,,,,,,
per_006,Bridget Hannigan,,,,,,,f,,,,,,,,,,,,,,,,,
per_007,Brigid McCarron,,,,,,,f,,,,,,,,,,,,,,,,,
per_008,C. ,Same as C I Francis?,,,,,,m,,,,,,,,,,,,,,,,,
per_009,C. I.  Francis,,,,,,,m,,,,,,,,,,,,,,,,,
per_010,Caitlín Ní Aoda,,,,,,,f,,,,,,,,,,,,,,,,,
per_011,Cathal Brugha,Minister of Defence ,,,,,,m,,,,,,,,,,,,,,,,,
per_012,Charles McGinley,,,,,,,m,,,,,,,,,,,,,,,,,
per_013,Charlie / Cormac Daly,Cormac Ó Dálaigh,Charles Daly,,,1896-1923,,m,,,,,,,,,,,,,,,,,
per_014,Cis Doherty,Christine?,Ciss Doherty,,,,,f,,,,,,,,,,,,,,,,,
per_015,Colm O'Neill,,,,,,,m,,,,,,,,,,,,,,,,,
per_016,Con Lucy,,,,,,Irish Republican Army,m,,,,,,,,,,,,,,,,,
per_017,Con Sullivan,,,,,,,m,,,,,,,,,,,,,,,,,
per_018,Cornelius Daly,Con,Cornelie,,,d. 1951,brother of Charlie Daly,m,,,,,,,,,,,,,,,,,
per_019,Dómnall Ua Cathail,Dómnall Ua Cathail,D. Ua C.,,,,,m,,,,,,,,,,,,,,,,,
per_020,Darrell Figgis,Darghal Figes,,,,,,m,,,,,,,,,,,,,,,,,
per_021,David Fitzgerald,,,,,,,m,,,,,,,,,,,,,,,,,
per_022,Denis Mahony,,,,,,,m,,,,,,,,,,,,,,,,,
per_023,Dick,Richard “Dick” McKee or R. E. Shanahan?,,,,,Irish Republican Army,m,,,,,,,,,,,,,,,,,
per_024,Director of Organisation,Eoin O'Duffy,,,,,IRA leader,m,,,,,,,,,,,,,,,,,
per_025,Domhnall,,,,,,person with very distinct handwriting and multiple Irish words in English letter / cannot be matched to anyone else,m,,,,,,,,,,,,,,,,,
per_026,Domhnall MacEarraig,,,,,,writes to Ellen Daly once in 1923,m,,,,,,,,,,,,,,,,,
per_027,Elizabeth Whelan,Lily Whelan,Lily,,,,,f,,,,,,,,,,,,,,,,,
per_028,Ellen Daly,Mrs Daly,Mrs Ellen Daly,Ellen Healy,,1869-1964,mother of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_029,Ellen Mary / Nellie Daly,Ellen Mary ,Nellie Daly,Ellen Jnr. Daly,,1910-1930,sister of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_030,Ellen Leonard,,,,,,,f,,,,,,,,,,,,,,,,,
per_031,H. McGrath,,,,,,,f,,,,,,,,,,,,,,,,,
per_032,Henry Kennedy,,,,,,,m,,,,,,,,,,,,,,,,,
per_033,Hugh McLean,,,,,,,m,,,,,,,,,,,,,,,,,
per_034,James J. Donaghy,,,,,,,m,,,,,,,,,,,,,,,,,
per_035,Jennie Gallivan,,,,,,,f,,,,,,,,,,,,,,,,,
per_036,Jer Hannifin,Jeremiah?,,,,,died in 1923, Nora O'Sullivan sends his picture to the Daly family,m,,,,,,,,,,,,,,,,,
per_037,Joe,,,,,,was in Tralee Jail 19 August 1923,m,,,,,,,,,,,,,,,,,
per_038,John Gallagher,,,,,,Navan, Co Meath,m,,,,,,,,,,,,,,,,,
per_039,Josie O'Sullivan,,,,,c. 1901-unknown,sister of Katie Maria,f,,,,,,,,,,,,,,,,,
per_040,Judy Daly,Judy,,,,unknown-unknown,,f,,,,,,,,,,,,,,,,,
per_041,K. Casey,,,,,,Wife of John Casey? Husband of Susan? Cousin of Charlie Daly?,unknown,,,,,,,,,,,,,,,,,
per_042,Katherine Allman,Kate Allman,Sr. Gertrude,Kattie,Cáit,c. 1908-unknown,friend of the Daly family / Catholic nun,f,,,,,,,,,,,,,,,,,
per_043,Kathleen Durcan,Kathleen,,,,unknown-unknown,,f,,,,,,,,,,,,,,,,,
per_044,Katie Maria O'Sullivan,K.M,Katie,,,c. 1892-unknown,cousin of Charlie Daly, teacher at local school,f,,,,,,,,,,,,,,,,,
per_045,L.  Breaney,,,,,,"sent one letter from 
Greencastle House, Goolin, Donegal, Ireland",unknown,,,,,,,,,,,,,,,,,
per_046,Leo Whelan,,,,,,,m,,,,,,,,,,,,,,,,,
per_047,William / Willie / Liam Daly,Liam Daly,Willie Daly,,,1893-1944,,m,,,,,,,,,,,,,,,,,
per_048,Lily Gerard,,,,,,,f,,,,,,,,,,,,,,,,,
per_049,Lizzie Kelliher,Elizabeth Daly,Lizzie Daly,Lizzie,,1881-1938,neighbour of the Daly family,f,,,,,,,,,,,,,,,,,
per_050,Lord Wimborne,,,,,,Lord Lieutenant of Ireland and Director-General, Department of Recruitment, Ireland,m,,,,,,,,,,,,,,,,,
per_051,M. Buckley,M B,,,,,,m,,,,,,,,,,,,,,,,,
per_052,M. MacMahon,,,,,,was in Tralee Jail 4 Dec 1923,m,,,,,,,,,,,,,,,,,
per_053,Madge Boner,,,,,,,f,,,,,,,,,,,,,,,,,
per_054,Madge Rodgers,,,,,,,f,,,,,,,,,,,,,,,,,
per_055,Maggie Larkin,Maggie,,,,,,f,,,,,,,,,,,,,,,,,
per_056,Máire Ní Dhonnghaile,,,,,,,f,,,,,,,,,,,,,,,,,
per_057,Mary / May / Máire Daly,May Daly,Máire Daly,,,1900-1982,sister of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_058,Mary Kelly,,,,,,,f,,,,,,,,,,,,,,,,,
per_059,Mary McFadden,,,,,,,f,,,,,,,,,,,,,,,,,
per_060,Michael Blake,,,,,,,m,,,,,,,,,,,,,,,,,
per_061,Mick Leary,Michael,,,,,,m,,,,,,,,,,,,,,,,,
per_062,Mick Timoney,Michael,,,,,,m,,,,,,,,,,,,,,,,,
per_063,Midge,Margaret?,,,,,,f,,,,,,,,,,,,,,,,,
per_064,Minnie Daly,,,,,,,f,,,,,,,,,,,,,,,,,
per_065,Miss Coates,,,,,,,f,,,,,,,,,,,,,,,,,
per_066,Mollie O'Connor,Mollie,,,,unknown-unknown,friend of the Daly family writing from Australia,f,,,,,,,,,,,,,,,,,
per_067,Mrs Browne,,,,,,,f,,,,,,,,,,,,,,,,,
per_068,Mrs MacFeely,,,,,unknown-unknown,friend of the family / possibly from Daisyhill,f,,,,,,,,,,,,,,,,,
per_069,Mrs Mary Kelly,,,,,unknown-unknown,friend of Charlie Daly / related to Rose and W. G. Kelly?,f,,,,,,,,,,,,,,,,,
per_070,Nancy Daly,Anne,,,,1912-1993,sister of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_071,Neil Freant,,,,,,,m,,,,,,,,,,,,,,,,,
per_072,Nellie McGrath,,,,,,,f,,,,,,,,,,,,,,,,,
per_073,Nora Daly,Honoria,Norah,,,1907-1928,sister of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_074,Nora O'Sullivan,Nora,,,,,,f,,,,,,,,,,,,,,,,,
per_075,Nora Ring,,,,,,,f,,,,,,,,,,,,,,,,,
per_076,one of Ellen Daly's children ,,,,,,,unknown,,,,,,,,,,,,,,,,,
per_077,Patrick Lynch,IRA Liaison Officer,P.  Lynch,,,,Irish Republican Army,m,,,,,,,,,,,,,,,,,
per_078,Patrick O'Connor,,,,,,Ballymullen Jail, Tralee,m,,,,,,,,,,,,,,,,,
per_079,Peadar O'Dóimhín,,,,,,,m,,,,,,,,,,,,,,,,,
per_080,R. E. Shanahan,Richard Shanahan,Richard E. Shanahan,R. E. Shanahan,,,Irish Republican Army,m,,,,,,,,,,,,,,,,,
per_081,Rev. J. O'Flynn,,,,,,,m,,,,,,,,,,,,,,,,,
per_082,Rita Murphy,,,,,,,f,,,,,,,,,,,,,,,,,
per_083,Róise Ní Dhómhnaill,Róise Ní Dómnaill,Rose O'Donnell,,,,,f,,,,,,,,,,,,,,,,,
per_084,Roisín Ní Ceallaig,Rose Kelly,,,,,related to Mary and W. G. Kelly?,f,,,,,,,,,,,,,,,,,
per_085,S. O'Brien,Susan? Seán?,,,,,,unknown,,,,,,,,,,,,,,,,,
per_086,S. Ua Núnáin,,,,,,Irish Republican Army,m,,,,,,,,,,,,,,,,,
per_087,S. O. Gallagher,,,,,,wrote from T Block, Military Barracks, Newbridge, Co. Kildare , 26 Feb 1923,m,,,,,,,,,,,,,,,,,
per_088,Seán Lehane,Seán,,,,,,m,,,,,,,,,,,,,,,,,
per_089,Sean MacDiarmada,Seán Mac Diarmada,Seán MacDiarmada,Sean Mac Diarmada,,,IRA, died in the Civil War,m,,,,,,,,,,,,,,,,,
per_090,Sheila Doogan,Sheila,,,,unknown-unknown,friend of Charlie Daly / possibly from Kingstown/Dún Laoghaire,f,,,,,,,,,,,,,,,,,
per_091,Sheila Hartnett,,,,,,,f,,,,,,,,,,,,,,,,,
per_092,Sheila Nagle,,,,,,,f,,,,,,,,,,,,,,,,,
per_093,Sinéad Ring,,,,,,,f,,,,,,,,,,,,,,,,,
per_094,Susan Daly,Susan Casey,Susie Daly,Susie Casey,,1902-1983,sister of Charlie Daly,f,,,,,,,,,,,,,,,,,
per_095,Susan Healy,Gran,,,,c. 1846-1932,mother of Ellen Daly,f,,,,,,,,,,,,,,,,,
per_096,Susan O'Flaherty,,,,,,,f,,,,,,,,,,,,,,,,,
per_097,the Daly Family,,,,,,,unknown,,,,,,,,,,,,,,,,,
per_098,the Editor,,,,,,,m,,,,,,,,,,,,,,,,,
per_099,Thomas Daly,,,,,1898-1939,brother of Charlie Daly,m,,,,,,,,,,,,,,,,,
per_100,Thomas Donoghue,,,,,,,m,,,,,,,,,,,,,,,,,
per_101,Thomas Leonard,,,,,,,m,,,,,,,,,,,,,,,,,
per_102,Ua Cuinneagain,Cunningham,C. Ua Cuinneagain,C. Uá Cuinneagain,,,CAPTAIN, Adjt. 3rd. Infantry Battalion,m,,,,,,,,,,,,,,,,,
per_103,W. D. Sheehan,William,,,,,,m,,,,,,,,,,,,,,,,,
per_104,W. G. Kelly Senior,William?,,,,,Irish Republican Army, related to Rose and Mary?,m,,,,,,,,,,,,,,,,,
per_105,unknown correspondents,,,,,,,,,,,,,,,,,,,,,,,,
per004_020,Austin Stack and Darrell Figgis,,,,,,,,,,,,,,,,,,,,,,,,
per030_101,Thomas and Ellen Leonard,,,,,,,,,,,,,,,,,,,,,,,,

